company_name,stock_code,Industry,p_DII,p_hhi_count_gender,p_std_attrition_gender,p_cv_salary_gender,p_hhi_count_race,p_std_attrition_race,p_cv_salary_race
"1-800-FLOWERS.COM, Inc.",FLWS,Consumer Discretionary  ,0.494233937,0.676389494,0.797295095,0.676389494,0.321723988,0.397697795,0.569850269
"10x Genomics, Inc.",TXG,Health Care  ,0.95167576,0.52245498,0.676833639,0.52245498,0.886732819,0.891713673,0.896518731
12 ReTech Corporation,RETC,Information Technology  ,0.084959816,0.927168904,0.033198289,0.927168904,0.375375676,0.098888764,0.292224122
"141 Capital, Inc.",ONCP,Information Technology  ,0.196326062,0.429873773,0.744204366,0.429873773,0.3396113,0.884498821,0.023639473
180 Life Sciences Corp.,ATNF,Health Care  ,0.010911925,0.146857773,0.08839691,0.146857773,0.044836457,0.158735203,0.141973946
1847 Goedeker Inc.,GOED,Consumer Discretionary  ,0.616144975,0.913220142,0.563304546,0.913220142,0.528515455,0.243677043,0.790667248
1847 Holdings LLC,EFSH,Consumer Discretionary  ,0.169686985,0.111014367,0.10933681,0.111014367,0.33347845,0.076199741,0.488443088
1867 Western Financial Corporation,WFCL,Financials  ,0.756072874,0.72149516,0.499548419,0.72149516,0.874686267,0.206665332,0.878002868
"1Life Healthcare, Inc.",ONEM,Health Care  ,0.959469992,0.406100698,0.735685275,0.406100698,0.795148842,0.802256296,0.945168175
"1PM Industries, Inc.",OPMZ,Industrials  ,0.420157068,0.398490128,0.417962225,0.398490128,0.440882695,0.550596383,0.591869919
"1ST SUMMIT BANCORP of Johnstown, Inc.",FSMK,Financials  ,0.069838057,0.335783435,0.157651781,0.335783435,0.071351739,0.568054444,0.196575834
"1mage Software, Inc.",ISOL,Information Technology  ,0.343283582,0.164896814,0.764911096,0.164896814,0.35804448,0.795375463,0.264057942
"1st Colonial Bancorp, Inc.",FCOB,Financials  ,0.498987854,0.910720688,0.506372303,0.910720688,0.527787738,0.051441153,0.68581929
1st Constitution Bancorp,FCCY,Financials  ,0.762145749,0.577267838,0.88329152,0.577267838,0.676228039,0.414431545,0.754481893
1st Source Corporation,SRCE,Financials  ,0.54757085,0.480548584,0.752834922,0.480548584,0.416009322,0.638310649,0.552348512
"1stdibs.Com, Inc.",DIBS,Consumer Discretionary  ,0.757825371,0.708460311,0.947694313,0.708460311,0.442316064,0.613002594,0.764355284
